Size,Rim,Unloaded Dimension,Unloaded Dimension,Loaded Static radius inch,Rolling Circumference inch,Load Index PR Symbols,Inflation Pressure psi,Recommended Load,Recommended Load,Recommended Load,Recommended Load,Recommended Load,Recommended Load,Recommended Load,Recommended Load
,,,,,,,,Speed,Speed,Speed,Speed,Speed,Speed,Speed,Speed
,,,,,,,,,,,,,,,
,,SW inch,OD inch,,,,,9 mph,12 mph,19 mph,25 mph,31 mph,37 mph,43 mph,50 mph
11.00-24,8 8.00V 8.0V5° 8.5 8.50V 8.5V5°,11.5,47.5,22.3,132.1,12PR 147F,68,9350,8510,7080,6530,6350,6240,5950,5670
,,,,,,,75,9920,9020,7520,6900,6720,6610,6310,6010
,,,,,,,81,10850,9860,8220,7560,7360,7230,6900,6570
,,,,,,,86,11180,10160,8470,7800,7580,7450,7120,6780
,,,,,,"14PR
151F",83,10410,9460,7890,7250,7060,6950,6610,6310
,,,,,,,90,10910,9920,8270,7610,7410,7280,6950,6610
,,,,,,,96,12210,11110,9260,8510,8290,8160,7780,7410
,,,,,,,100,12540,11420,9500,8750,8510,8380,7980,7610
,,,,,,"16PR
154F",97,11350,10320,8600,7920,7690,7560,7230,6880
,,,,,,,104,11820,10760,8950,8250,8030,7890,7520,7170
,,,,,,,110,13360,12150,10120,9300,9060,8910,8490,8090
,,,,,,,115,13650,12410,10340,9500,9260,9110,8690,8270
