Size,Rim,Unloaded Dimension,Unloaded Dimension,Loaded Static radius inch,Rolling Circumference inch,Load Index PR Symbols,Inflation Pressure psi,Recommended Load,Recommended Load,Recommended Load,Recommended Load
,,,,,,,,Speed,Speed,Speed,Speed
,,,,,,,,Hard Improved Surfaces,Hard Improved Surfaces,Hard Improved Surfaces,Hard Improved Surfaces
,,SW inch,OD inch,,,,,Static mph,3 mph,6 mph,16 mph
16.00-24 L-3,11.25,17.0,58.8,27.0,175.2,16PR 181A2,61,29210,23520,21910,20280
,,,,,,,65,30450,24520,22820,21140
,,,,,,,70,31590,25440,23700,21940
,,,,,,,74,32740,26370,24560,22730
,,,,,,"20PR
187A2",78,34410,27710,25790,23900
,,,,,,,83,35520,28620,26630,24670
,,,,,,,87,36600,29480,27450,25420
,,,,,,,96,38690,31170,29010,26870
,,,,,,"24PR
190A2",100,39180,31550,29370,27210
,,,,,,,104,40170,32340,30120,27890
,,,,,,,109,41120,33110,30840,28550
,,,,,,,113,42060,33890,31550,29210
