Size,Rim,Unloaded Dimension,Unloaded Dimension,Loaded Static radius inch,Rolling Circumference inch,Load Index PR Symbols,Inflation Pressure psi,Recommended Load,Recommended Load
,,,,,,,,Speed,Speed
,,,,,,,,CYCLIC OPERATION,CYCLIC OPERATION
,,SW inch,OD inch,,,,,6 mph,9 mph
300/95R52 (12.4R52),W10X52 W9X52,12.2,74.4,34.9,227.6,156D 159A8,15,5250,4780
,,,,,,,22,6750,6150
,,,,,,,29,8180,7450
,,,,,,,36,9110,8310
,,,,,,,44,9660,8800
,,,,,,,51,10490,9570
,,,,,,,58,11240,10250
,,,,,,,65,12190,11110
,,,,,,,73,12940,11800
,,,,,,,80,14070,12810
,,,,,,,87,14990,13670
