Size,Rim,Unloaded Dimension,,Loaded Static radius mm,Rolling Circumference mm,Load Index PR Symbols,Inflation Pressure bar,Recommended Load,,,,,,
,,,,,,,,Speed,,,,,,
,,,,,,,,Not high and sustained torque;Road transport,,,,,,
,,SW mm,OD mm,,,,,10 kmph,20 kmph,25 kmph,30 kmph,40 kmph,50 kmph,65 kmph
300/95R52 (12.4R52),W10X52 W9X52,310,1890,887,5781,156D 159A8,0.8,2100,1720,1660,1610,1530,1470,1400
,,,,,,,1.2,2700,2210,2130,2070,1970,1890,1800
,,,,,,,1.6,3270,2680,2580,2510,2390,2290,2180
,,,,,,,2,3650,2990,2880,2790,2660,2550,2430
,,,,,,,2.4,3860,3170,3050,2960,2820,2700,2575
,,,,,,,2.8,4200,3440,3320,3220,3070,2940,2800
,,,,,,,3.2,4500,3690,3560,3450,3290,3150,3000
,,,,,,,3.6,4880,4000,3850,3740,3560,3410,3250
,,,,,,,4,5180,4240,4090,3970,3780,3620,3450
,,,,,,,4.4,5630,4610,4440,4310,4110,3940,3750
,,,,,,,4.8,6000,4920,4740,4600,4380,4200,4000
